Date,Peak Wind Gust kmh,Mid Wind Gust kmh,Valley Wind Gust kmh,Peak Wind Speed kmh,Mid Wind Speed kmh,Valley Wind Speed kmh,Min Peak Temp,Max Peak Temp,Peak Feels Like,Mid Min Temp,Mid Max Temp,Mid Feels Like,Valley Min Temp,Valley Max Temp,Valley Feels Like,Inversion,Peak Weather2,Peak Weather5,Mid Weather2,Mid Weather5,Valley Weather2,Valley Weather5,Peak Rain mm,Mid Rain mm,Valley Rain mm,Peak Snow cm,Mid Snow cm,Valley Snow cm,Thunder Chance,Thunder,Total Peak Loss cm,Peak Wind Loss cm,Peak Snow depth cm,Total Mid Loss cm,Mid Wind Loss cm,Mid Snow depth cm,Total base Loss cm,Base Wind Loss cm,Base Snow depth cm,Wind Dir,Ranger Snow Cm,Ranger Snow depth cm,Ranger Rainfall,Arena snow,Arena Snow depth cm,Arena Rainfall
22/08/2023,9,5,3,9,5,3,5,8,2,8,15,6,15,16,15,,Rain,Rain Showers,Sunny,,Sunny,,2,0,0,0,0,0,0,,16,1,0,69,1,0,106,1,0,SW,0,0,0,0,0,0
23/08/2023,3,2,1,3,2,1,4,10,4,9,13,9,14,17,14,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,0,,5,0,0,6,0,0,8,0,0,SW,0,0,0,0,0,0
24/08/2023,5,3,1,5,3,1,8,10,8,10,15,10,13,15,13,,Rain,Rain Showers,Rain,Rain Showers,Rain,Rain Showers,5,5,4,0,0,0,0,,40,1,0,31,0,0,116,0,0,SW,0,0,2,0,0,1
25/08/2023,1,1,0,1,1,0,6,10,6,11,18,11,16,19,16,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,0,,6,0,0,7,0,0,6,0,0,SW,0,0,0,0,0,0
26/08/2023,17,10,5,11,7,4,6,8,3,11,18,10,16,20,16,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,0,,8,3,0,10,1,0,5,1,0,S,0,0,0,0,0,0
27/08/2023,5,3,2,5,3,2,6,6,5,9,21,9,17,17,17,,Rain,Rain Showers,Sunny,,Sunny,,2,0,0,0,0,0,0,,20,1,0,37,0,0,83,1,0,S,0,0,0,0,0,0
28/08/2023,42,26,16,17,11,6,10,15,8,15,18,15,20,28,21,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,66,Thunder,12,6,0,12,2,0,8,2,0,S,0,0,0,0,0,0
29/08/2023,6,4,2,6,4,2,6,10,5,9,15,9,11,14,11,,Rain,Mod Rain,Rain,Mod Rain,Rain,Rain Showers,17,12,5,0,0,0,0,,44,1,0,18,1,0,68,1,0,S,0,0,1,0,0,2
30/08/2023,0,0,0,0,0,0,9,9,9,14,22,14,19,23,19,,Cloudy,,Cloudy,,Cloudy,,0,0,0,0,0,0,0,,4,0,0,9,0,0,2,0,0,SW,0,0,0,0,0,0
31/08/2023,1,0,0,1,0,0,7,7,7,10,21,10,17,19,17,,Rain,Mod Rain,Partly Cloudy,,Partly Cloudy,,14,0,0,0,0,0,0,,56,0,0,48,0,0,119,0,0,SW,0,0,0,0,0,0
01/09/2023,4,3,2,4,3,2,9,13,9,14,21,14,19,23,19,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,0,,7,1,0,10,0,0,7,1,0,SW,0,0,0,0,0,0
02/09/2023,25,16,11,13,8,5,6,10,3,11,20,9,16,18,16,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,0,,7,4,0,11,1,0,3,1,0,SW,0,0,0,0,0,0
03/09/2023,40,24,14,11,7,4,8,8,5,10,22,9,18,22,18,,Rain,Rain Showers,Sunny,,Sunny,,1,0,0,0,0,0,0,,51,6,0,62,1,0,178,1,0,S,0,0,0,0,0,0
04/09/2023,8,4,2,6,3,2,5,9,4,11,20,11,16,17,16,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,0,,6,1,0,10,1,0,3,1,0,S,0,0,0,0,0,0
05/09/2023,1,0,0,1,0,0,5,5,5,8,14,8,10,13,10,,Rain,Rain Showers,Rain,Heavy Rain,Rain,Mod Rain,9,21,20,0,0,0,0,,16,0,0,79,0,0,93,0,0,S,0,0,11,0,0,6
06/09/2023,5,3,2,5,3,2,5,8,4,8,13,8,10,14,10,,Rain,Rain Showers,Rain,Rain Showers,Rain,Heavy Rain,9,5,24,0,0,0,0,,32,1,0,78,0,0,82,1,0,S,0,0,8,0,0,6
07/09/2023,3,2,1,3,2,1,6,10,6,11,19,11,16,18,16,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,0,,4,0,0,8,0,0,8,0,0,S,0,0,0,0,0,0
08/09/2023,8,5,3,8,5,3,4,4,1,6,10,6,9,9,9,,Rain,Mod Rain,Rain,Mod Rain,Rain,Rain Showers,18,14,10,0,0,0,0,,32,1,0,33,1,0,45,1,0,S,0,0,5,0,0,3
09/09/2023,16,9,4,7,4,2,7,10,5,9,13,9,12,13,12,,Rain,Rain Showers,Rain,Rain Showers,Rain,Rain Showers,5,1,4,0,0,0,0,,43,2,0,19,1,0,107,1,0,S,0,0,1,0,0,1
10/09/2023,1,1,0,1,1,0,4,5,4,6,11,6,9,10,9,,Rain,Mod Rain,Rain,Mod Rain,Rain,Mod Rain,19,14,15,0,0,0,0,,11,0,0,13,0,0,44,0,0,S,0,0,6,0,0,4
11/09/2023,7,4,3,7,4,3,7,11,5,9,16,9,12,15,12,,Rain,Mod Rain,Rain,Mod Rain,Rain,Mod Rain,13,13,14,0,0,0,0,,27,1,0,28,1,0,59,1,0,S,0,0,7,0,0,6
12/09/2023,15,10,6,11,7,4,5,6,1,7,13,5,10,12,10,,Rain,Rain Showers,Rain,Mod Rain,Rain,Mod Rain,10,19,11,0,0,0,0,,20,2,0,36,1,0,87,1,0,SE,0,0,4,0,0,4
13/09/2023,0,0,0,0,0,0,3,5,3,9,16,9,13,13,13,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,0,,7,0,0,8,0,0,4,0,0,S,0,0,0,0,0,0
14/09/2023,10,6,4,10,6,4,4,8,1,7,9,5,9,9,9,,Rain,Mod Rain,Rain,Heavy Rain,Rain,Rain Showers,12,22,8,0,0,0,0,,27,1,0,42,1,0,67,1,0,S,0,0,4,0,0,3
15/09/2023,1,1,0,1,1,0,4,8,4,9,14,9,14,15,14,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,0,,8,0,0,6,0,0,4,0,0,S,0,0,0,0,0,0
16/09/2023,1,0,0,1,0,0,5,6,5,8,10,8,10,12,10,,Rain,Heavy Rain,Rain,Mod Rain,Rain,Mod Rain,23,12,18,0,0,0,0,,41,0,0,15,0,0,61,0,0,S,0,0,4,0,0,6
17/09/2023,43,27,15,31,20,13,4,5,-2,9,17,6,14,14,13,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,0,,13,6,0,6,3,0,6,4,0,S,0,0,0,0,0,0
18/09/2023,5,3,1,5,3,1,4,6,2,9,15,9,14,18,14,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,0,,4,1,0,4,0,0,5,0,0,S,0,0,0,0,0,0
19/09/2023,62,39,23,29,19,12,8,14,3,13,16,11,18,26,17,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,0,,12,9,0,12,3,0,9,4,0,SW,0,0,0,0,0,0
20/09/2023,58,39,26,23,15,10,4,6,-1,6,9,3,9,12,7,,Rain,Heavy Rain,Rain,Mod Rain,Rain,Mod Rain,24,16,17,0,0,0,0,,24,9,0,59,2,0,64,3,0,SW,0,0,4,0,0,6
21/09/2023,7,5,4,7,5,4,5,5,2,7,12,6,10,13,10,,Rain,Rain Showers,Rain,Rain Showers,Rain,Rain Showers,1,1,1,0,0,0,0,,20,1,0,58,1,0,98,1,0,SW,0,0,0,0,0,0
22/09/2023,16,11,7,16,11,7,4,4,-1,6,11,3,9,10,7,,Rain,Rain Showers,Rain,Rain Showers,Rain,Rain Showers,3,4,2,0,0,0,0,,17,2,0,26,2,0,88,2,0,SW,0,0,1,0,0,1
23/09/2023,25,17,12,25,16,10,2,6,-3,8,12,4,13,21,11,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,0,,12,4,0,5,2,0,6,3,0,SW,0,0,0,0,0,0
24/09/2023,35,20,10,22,14,8,1,5,-4,4,9,0,6,9,4,,Sleet,Sleet Showers,Rain,Mod Rain,Rain,Mod Rain,13,20,17,0,0,0,0,,13,5,0,22,2,0,41,2,0,SW,0,0,4,0,0,4
25/09/2023,1,0,0,1,0,0,1,3,1,4,6,4,6,8,6,,Sleet,Sleet Showers,Rain,Rain Showers,Rain,Rain Showers,2,1,3,0,0,0,0,,5,0,0,23,0,0,57,0,0,SW,0,0,0,0,0,1
26/09/2023,21,14,9,21,14,8,5,12,1,10,15,8,15,23,15,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,0,,11,3,0,4,2,0,5,2,0,SW,0,0,0,0,0,0
27/09/2023,58,35,19,28,17,11,1,3,-5,4,11,-1,11,12,9,,Sleet,Sleet Showers,Partly Cloudy,,Partly Cloudy,,11,0,0,0,0,0,0,,14,9,0,13,3,0,103,3,0,SW,0,0,0,0,0,0
28/09/2023,33,22,15,19,13,8,-1,1,-7,4,6,0,9,16,7,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,0,,10,5,0,12,2,0,7,2,0,SW,0,0,0,0,0,0
29/09/2023,5,3,2,5,3,2,1,3,1,3,12,3,11,13,11,,Sleet,Sleet Showers,Partly Cloudy,,Partly Cloudy,,6,0,0,0,0,0,0,,5,1,0,21,0,0,44,0,0,SW,0,0,0,0,0,0
30/09/2023,5,3,2,5,3,2,4,6,4,6,12,6,9,10,9,,Rain,Rain Showers,Rain,Rain Showers,Rain,Rain Showers,1,4,4,0,0,0,0,,23,1,0,44,0,0,35,0,0,SW,0,0,1,0,0,1
01/10/2023,4,3,1,4,3,1,5,7,5,10,15,10,15,20,15,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,0,,7,1,0,10,0,0,8,0,0,SW,0,0,0,0,0,0
02/10/2023,30,17,8,17,11,7,-1,2,-6,2,5,-2,4,6,2,,Snow,Snow Showers,Sleet,Sleet Showers,Rain,Rain Showers,0,5,5,5,0,0,0,,4,4,1,12,2,0,38,2,0,SW,0,0,3,0,0,2
03/10/2023,60,40,27,13,9,6,2,5,-2,5,7,2,7,11,6,,Sleet,Sleet Showers,Rain,Rain Showers,Rain,Rain Showers,1,5,1,0,0,0,0,,23,9,0,41,1,0,31,2,0,W,0,0,0,0,0,0
04/10/2023,0,0,0,0,0,0,-2,0,-2,1,3,1,3,4,3,,Snow,Snow Showers,Sleet,Sleet Showers,Rain,Rain Showers,0,3,5,1,0,0,0,,0,0,1,5,0,0,16,0,0,W,0,0,1,0,0,1
05/10/2023,2,1,1,2,1,1,1,4,1,4,6,4,6,10,6,,Sleet,Sleet Showers,Rain,Rain Showers,Rain,Rain Showers,3,5,3,0,0,0,0,,5,0,0,22,0,0,43,0,0,W,0,0,2,0,0,1
06/10/2023,13,7,3,6,4,2,-1,-1,-4,2,11,2,9,10,9,,Snow,Snow Showers,Sunny,,Sunny,,0,0,0,3,0,0,0,,2,2,1,13,1,0,37,1,0,SW,0,0,0,0,0,0
07/10/2023,0,0,0,0,0,0,3,7,3,8,10,8,13,21,13,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,0,,8,0,0,5,0,0,5,0,0,W,0,0,0,0,0,0
08/10/2023,14,10,7,9,6,3,0,1,-4,2,8,0,5,9,5,,Snow,Snow Showers,Sleet,Sleet Showers,Rain,Rain Showers,0,2,1,5,0,0,0,,2,2,3,24,1,0,20,1,0,W,0,0,1,0,0,0
09/10/2023,4,2,1,4,2,1,-3,-3,-3,-1,10,-1,7,7,7,,Snow,Snow Showers,Sunny,,Sunny,,0,0,0,1,0,0,0,,1,1,3,-3,0,3,27,0,0,W,0,0,0,0,0,0
10/10/2023,3,2,1,3,2,1,4,6,4,9,12,9,14,22,14,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,0,,4,0,0,9,0,0,2,0,0,W,0,0,0,0,0,0
11/10/2023,5,3,1,5,3,1,3,7,2,6,14,6,13,15,13,,Rain,Rain Showers,Sunny,,Sunny,,2,0,0,0,0,0,0,,25,1,0,12,0,0,68,0,0,W,0,0,0,0,0,0
12/10/2023,6,4,2,6,4,2,3,10,1,8,13,8,13,17,13,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,0,,7,1,0,6,1,0,7,1,0,W,0,0,0,0,0,0
13/10/2023,1,0,0,1,0,0,-4,-4,-4,-1,2,-1,1,5,1,,Snow,Snow Showers,Snow,Snow Showers,Sleet,Sleet Showers,0,0,5,1,1,0,0,,0,0,1,0,0,1,7,0,0,W,0,0,2,0,0,1
14/10/2023,29,18,11,14,9,5,1,4,-3,4,6,1,6,6,5,,Sleet,Sleet Showers,Rain,Rain Showers,Rain,Rain Showers,3,2,5,0,0,0,0,,13,4,0,23,1,0,50,2,0,W,0,0,3,0,0,1
15/10/2023,4,3,1,4,3,1,-7,-4,-7,-2,2,-2,3,9,3,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,0,,4,1,0,9,0,0,7,0,0,NW,0,0,0,0,0,0
16/10/2023,2,1,1,2,1,1,-5,-3,-5,-3,2,-3,0,0,0,,Snow,Snow Showers,Snow,Snow Showers,Snow,Snow Showers,0,0,0,2,1,2,0,,0,0,2,0,0,1,0,0,1,W,2,1,0,2,2,0
17/10/2023,3,2,1,3,2,1,-1,1,-1,1,5,1,4,8,4,,Snow,Snow Showers,Sleet,Sleet Showers,Rain,Rain Showers,0,5,1,2,0,0,0,,1,1,3,4,0,0,37,0,0,W,0,0,0,0,0,0
18/10/2023,21,12,7,21,12,7,0,3,-6,5,11,1,10,13,8,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,0,,7,3,0,9,2,0,10,2,0,W,0,0,0,0,0,0
19/10/2023,16,9,4,16,9,4,-4,2,-10,2,8,-2,6,11,6,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,0,,13,2,0,6,1,0,4,1,0,W,0,0,0,0,0,0
20/10/2023,24,16,11,24,16,11,-6,-3,-14,-3,5,-9,4,5,1,,Snow,Snow Showers,Sunny,,Sunny,,0,0,0,1,0,0,0,,4,4,0,2,2,0,29,3,0,SW,0,0,0,0,0,0
21/10/2023,31,18,9,30,18,9,-8,-4,-17,-3,-1,-9,2,5,-1,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,0,,10,5,0,12,3,0,10,3,0,SW,0,0,0,0,0,0
22/10/2023,11,7,5,11,7,5,-3,2,-8,2,8,0,7,11,7,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,0,,12,2,0,8,1,0,5,1,0,W,0,0,0,0,0,0
23/10/2023,0,0,0,0,0,0,-8,-5,-8,-3,4,-3,2,11,2,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,0,,8,0,0,5,0,0,2,0,0,SW,0,0,0,0,0,0
24/10/2023,50,33,23,36,23,15,-5,-5,-14,-3,7,-10,5,5,1,,Snow,Snow Showers,Sunny,,Sunny,,0,0,0,5,0,0,0,,7,7,0,4,4,0,24,4,0,SW,0,0,0,0,0,0
25/10/2023,0,0,0,0,0,0,-3,0,-3,-1,6,-1,2,4,2,,Snow,Snow Showers,Snow,Snow Showers,Sleet,Sleet Showers,0,0,3,3,3,0,0,,0,0,3,0,0,3,10,0,0,SW,0,0,1,0,0,1
26/10/2023,72,49,34,34,22,13,-1,-1,-9,1,7,-5,4,5,0,,Snow,Snow Showers,Sleet,Sleet Showers,Rain,Rain Showers,0,4,3,4,0,0,0,,11,11,0,7,3,0,18,4,0,SW,0,0,2,0,0,1
27/10/2023,43,30,22,24,15,9,-7,-3,-15,-4,7,-10,3,6,1,,Snow,Mod Snow,Partly Cloudy,,Partly Cloudy,,0,0,0,18,0,0,0,,6,6,12,2,2,0,34,3,0,SW,0,0,0,0,0,0
28/10/2023,10,7,4,10,7,4,-2,2,-6,1,4,-2,3,3,3,,Snow,Snow Showers,Sleet,Sleet Showers,Rain,Rain Showers,0,5,3,3,0,0,0,,2,2,13,4,1,0,14,1,0,SW,0,0,1,0,0,0
29/10/2023,1,0,0,1,0,0,-5,-2,-5,-2,7,-2,5,8,5,,Snow,Snow Showers,Sunny,,Sunny,,0,0,0,1,0,0,0,,0,0,14,0,0,0,36,0,0,SW,0,0,0,0,0,0
30/10/2023,77,43,21,27,16,9,-9,-7,-18,-6,-3,-13,-4,0,-8,,Snow,Snow Showers,Snow,Snow Showers,Snow,Snow Showers,0,0,0,3,2,2,0,,12,12,5,2,2,0,3,3,0,W,2,0,0,3,0,0
31/10/2023,32,20,12,17,11,7,-8,-4,-15,-6,-1,-11,-3,1,-6,,Snow,Heavy Snow,Snow,Heavy Snow,Snow,Heavy Snow,0,0,0,38,29,48,0,,5,5,39,2,2,28,2,2,46,W,46,44,0,67,65,0
01/11/2023,1,1,0,1,1,0,-7,-7,-7,-2,7,-2,3,4,3,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,0,,0,0,38,0,0,27,8,0,37,W,0,35,0,0,56,0
02/11/2023,2,1,1,2,1,1,-7,-6,-7,-5,1,-5,-2,1,-2,,Snow,Mod Snow,Snow,Mod Snow,Snow,Mod Snow,0,0,0,17,19,12,0,,0,0,55,0,0,46,0,0,49,W,12,47,0,14,70,0
03/11/2023,47,29,17,19,12,7,-7,-4,-14,-4,8,-9,4,4,1,,Snow,Heavy Snow,Partly Cloudy,,Partly Cloudy,,0,0,0,40,0,0,0,,7,7,88,2,2,44,34,2,15,SW,0,13,0,0,36,0
04/11/2023,14,9,5,12,8,5,-4,1,-9,1,8,-1,6,14,6,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,0,,12,2,76,11,1,33,10,1,5,SW,0,2,0,0,25,0
05/11/2023,18,12,8,11,7,5,-8,-6,-14,-5,4,-9,2,6,2,,Snow,Snow Showers,Sunny,,Sunny,,0,0,0,3,0,0,0,,3,3,76,1,1,32,20,1,0,SW,0,0,0,0,6,0
06/11/2023,7,4,3,7,4,3,-6,-6,-10,-3,0,-3,-1,-1,-1,,Snow,Snow Showers,Snow,Snow Showers,Snow,Snow Showers,0,0,0,3,3,2,0,,1,1,78,1,1,35,1,1,1,W,2,1,0,3,8,0
07/11/2023,5,3,2,5,3,2,-6,-4,-9,-1,5,-1,4,10,4,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,0,,9,1,69,5,0,29,10,1,0,W,0,0,0,0,0,0
08/11/2023,0,0,0,0,0,0,-9,-8,-9,-4,2,-4,1,5,1,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,0,,0,0,69,0,0,29,6,0,0,SW,0,0,0,0,0,0
09/11/2023,39,25,16,26,17,11,-10,-9,-20,-8,2,-15,0,0,-4,,Snow,Mod Snow,Partly Cloudy,,Partly Cloudy,,0,0,0,12,0,0,0,,6,6,75,3,3,27,3,3,0,SW,0,0,0,0,0,0
10/11/2023,1,0,0,1,0,0,-8,-5,-8,-3,1,-3,2,11,2,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,0,,12,0,63,5,0,22,7,0,0,SW,0,0,0,0,0,0
11/11/2023,11,6,3,11,6,3,-5,-5,-9,-2,7,-5,6,8,6,,Snow,Snow Showers,Sunny,,Sunny,,0,0,0,2,0,0,0,,2,2,64,-13,1,35,56,1,0,W,0,0,0,0,0,0
12/11/2023,46,25,12,33,21,12,-7,-7,-16,-4,4,-11,3,4,0,,Snow,Snow Showers,Sunny,,Sunny,,0,0,0,1,0,0,0,,7,7,58,3,3,32,27,4,0,W,0,0,0,0,0,0
13/11/2023,6,4,3,6,4,3,-9,-5,-12,-4,2,-4,1,2,1,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,0,,1,1,57,1,1,31,4,1,0,W,0,0,0,0,0,0
14/11/2023,80,56,40,43,27,17,-8,-7,-19,-5,2,-14,2,3,-3,,Snow,Mod Snow,Partly Cloudy,,Partly Cloudy,,0,0,0,15,0,0,0,,12,12,60,4,4,27,14,5,0,W,0,0,0,0,0,0
15/11/2023,0,0,0,0,0,0,-9,-7,-9,-6,-3,-6,-4,-1,-4,,Snow,Snow Showers,Snow,Snow Showers,Snow,Snow Showers,0,0,0,3,3,2,0,,0,0,63,0,0,30,0,0,2,SW,2,2,0,3,3,0
16/11/2023,8,4,2,8,4,2,-6,-3,-10,-4,8,-4,4,4,4,,Snow,Snow Showers,Sunny,,Sunny,,0,0,0,5,0,0,0,,1,1,67,1,1,29,20,1,0,SW,0,0,0,0,0,0
17/11/2023,88,54,32,33,20,12,-8,-5,-18,-3,1,-10,2,10,-2,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,0,,23,13,44,13,3,16,8,4,0,W,0,0,0,0,0,0
18/11/2023,1,1,0,1,1,0,-12,-10,-12,-7,-2,-7,-2,2,-2,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,0,,0,0,43,0,0,16,0,0,0,W,0,0,0,0,0,0
19/11/2023,97,58,31,32,19,10,-16,-11,-28,-10,-8,-19,-5,0,-10,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,0,,22,15,22,10,3,6,3,3,0,W,0,0,0,0,0,0
20/11/2023,26,17,11,26,17,11,-12,-12,-22,-9,-6,-17,-7,-5,-12,,Snow,Snow Showers,Snow,Snow Showers,Snow,Light Snow,0,0,0,5,5,6,0,,4,4,23,3,3,8,3,3,3,W,5,2,0,9,5,0
21/11/2023,3,2,1,3,2,1,-15,-11,-15,-12,-1,-12,-5,-4,-5,,Snow,Snow Showers,Sunny,,Sunny,,0,0,0,4,0,0,0,,0,0,27,0,0,8,0,0,3,W,0,2,0,0,5,0
