Day,Date,Peak_Wind_Gust_kmh,Mid_Wind_Gust_kmh,Valley_Wind_Gust_kmh,Peak_Wind_Speed_kmh,Mid_Wind_Speed_kmh,Valley_Wind_Speed_kmh,Peak_Min_Temp,Peak_Max_Temp,Peak_Feels_Like,Mid_Min_Temp,Mid_Max_Temp,Mid_Feels_Like,Valley_Min_Temp,Valley_Max_Temp,Valley_Feels_Like,Inversion,Peak_Weather2,Peak_Weather5,Mid_Weather2,Mid_Weather5,Valley_Weather2,Valley_Weather5,Peak_Rain_mm,Mid_Rain_mm,Valley_Rain_mm,Peak_Snow_cm,Mid_Snow_cm,Valley_Snow_cm,Thunder,Peak_Snow_depth_cm,Mid_Snow_depth_cm,Base_Snow_depth_cm,
12,12/07/2014,0,0,0,0,0,0,6,10,10,9,15,13,11,15,16,,Rain,Mod Rain,Rain,Mod Rain,Rain,Rain Showers,15,11,9,0,0,0,,0,0,0,
13,13/07/2014,2,1,0,2,1,0,9,12,11,15,17,17,19,23,22,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,,0,0,0,
14,14/07/2014,6,4,2,6,4,2,5,6,4,8,19,8,15,16,17,,Rain,Rain Showers,Sunny,,Sunny,,2,0,0,0,0,0,,0,0,0,
15,15/07/2014,7,4,2,7,4,2,8,10,7,11,18,11,18,21,20,,Rain,Mod Rain,Partly Cloudy,,Partly Cloudy,,13,0,0,0,0,0,,0,0,0,
16,16/07/2014,0,0,0,0,0,0,7,10,12,10,18,14,17,17,21,,Rain,Rain Showers,Sunny,,Sunny,,2,0,0,0,0,0,,0,0,0,
17,17/07/2014,10,7,4,8,5,3,4,6,2,9,14,8,14,18,15,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,,0,0,0,
18,18/07/2014,6,4,2,6,4,2,5,5,4,10,16,10,15,18,17,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,0,0,0,
19,19/07/2014,15,9,6,5,3,2,9,13,7,12,19,11,19,19,20,,Rain,Rain Showers,Sunny,,Sunny,,4,0,0,0,0,0,,0,0,0,
20,20/07/2014,10,6,3,5,3,1,5,7,3,8,14,7,10,11,10,,Rain,Rain Showers,Rain,Heavy Rain,Rain,Mod Rain,9,24,17,0,0,0,,0,0,0,
21,21/07/2014,0,0,0,0,0,0,9,13,12,12,17,15,14,17,17,,Rain,Rain Showers,Rain,Rain Showers,Rain,Rain Showers,5,4,4,0,0,0,,0,0,0,
22,22/07/2014,10,5,2,4,2,1,7,8,5,9,17,9,17,19,18,,Rain,Rain Showers,Sunny,,Sunny,,3,0,0,0,0,0,,0,0,0,
23,23/07/2014,2,1,1,2,1,1,7,10,8,12,19,14,17,21,19,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,0,0,0,
24,24/07/2014,1,0,0,1,0,0,7,8,9,12,17,15,17,21,20,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,0,0,0,
25,25/07/2014,1,1,0,1,1,0,8,12,9,13,20,15,18,22,20,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,,0,0,0,
26,26/07/2014,11,6,3,7,4,2,9,14,7,14,17,14,19,24,20,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,,0,0,0,
27,27/07/2014,6,3,2,6,3,2,7,10,5,9,17,9,17,21,18,,Rain,Mod Rain,Partly Cloudy,,Partly Cloudy,,13,0,0,0,0,0,,0,0,0,
28,28/07/2014,1,0,0,1,0,0,3,6,6,6,14,9,14,16,17,,Rain,Rain Showers,Sunny,,Sunny,,5,0,0,0,0,0,,0,0,0,
29,29/07/2014,0,0,0,0,0,0,9,9,12,12,18,15,14,16,18,,Rain,Rain Showers,Rain,Rain Showers,Rain,Rain Showers,3,4,4,0,0,0,,0,0,0,
30,30/07/2014,5,4,2,5,4,2,2,5,1,5,13,5,12,16,13,,Sleet,Sleet Showers,Sunny,,Sunny,,0,0,0,0,0,0,,0,0,0,
31,31/07/2014,6,3,2,6,3,2,7,7,6,10,13,10,12,15,14,,Rain,Rain Showers,Rain,Mod Rain,Rain,Mod Rain,5,20,14,0,0,0,,0,0,0,
32,01/08/2014,16,9,5,16,9,5,3,5,-1,6,13,4,13,17,13,,Rain,Rain Showers,Sunny,,Sunny,,5,0,0,0,0,0,,0,0,0,
33,02/08/2014,5,4,3,5,4,3,5,7,4,8,16,8,15,19,16,,Rain,Rain Showers,Sunny,,Sunny,,3,0,0,0,0,0,,0,0,0,
34,03/08/2014,12,7,4,12,7,4,10,12,8,13,15,12,15,16,16,,Rain,Rain Showers,Rain,Rain Showers,Rain,Rain Showers,5,5,5,0,0,0,,0,0,0,
35,04/08/2014,38,26,19,21,14,8,3,9,-3,8,12,4,13,18,11,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,,0,0,0,
36,05/08/2014,35,19,9,16,10,6,7,11,2,9,18,7,17,18,17,,Rain,Mod Rain,Partly Cloudy,,Partly Cloudy,,13,0,0,0,0,0,,0,0,0,
37,06/08/2014,17,11,6,13,8,5,6,8,2,8,20,6,16,16,16,,Rain,Rain Showers,Sunny,,Sunny,,5,0,0,0,0,0,,0,0,0,
38,07/08/2014,2,1,0,2,1,0,2,6,3,4,8,6,7,10,9,,Sleet,Sleet Showers,Rain,Rain Showers,Rain,Rain Showers,0,2,2,0,0,0,,0,0,0,
39,08/08/2014,43,29,20,12,8,5,4,8,-2,10,16,6,15,20,13,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,,0,0,0,
40,09/08/2014,14,9,5,6,4,2,6,8,4,9,12,8,11,13,11,,Rain,Rain Showers,Rain,Rain Showers,Rain,Rain Showers,2,5,4,0,0,0,,0,0,0,
41,10/08/2014,0,0,0,0,0,0,4,8,12,9,15,16,14,15,20,,Cloudy,,Sunny,,Sunny,,0,0,0,0,0,0,,0,0,0,
42,11/08/2014,1,1,0,1,1,0,4,6,6,9,12,12,14,20,17,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,,0,0,0,
43,12/08/2014,11,7,5,11,7,5,4,9,1,9,13,8,14,23,14,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,,0,0,0,
44,13/08/2014,5,4,3,5,4,3,5,7,4,7,11,7,10,10,11,,Rain,Rain Showers,Rain,Rain Showers,Rain,Rain Showers,2,2,10,0,0,0,,0,0,0,
45,14/08/2014,9,5,2,9,5,2,1,5,-2,3,10,2,6,10,6,,Sleet,Sleet Showers,Rain,Rain Showers,Rain,Rain Showers,0,2,3,0,0,0,,0,0,0,
46,15/08/2014,1,1,1,1,1,1,3,4,4,5,15,7,13,16,15,,Sleet,Sleet Showers,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,0,0,0,
47,16/08/2014,28,18,11,14,9,6,2,3,-4,7,15,3,12,13,10,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,0,0,0,
48,17/08/2014,12,8,5,11,7,4,0,4,-3,6,11,4,11,20,10,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,,0,0,0,
49,18/08/2014,22,13,7,10,6,4,2,6,-3,5,13,2,12,15,12,,Sleet,Sleet Showers,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,0,0,0,
50,19/08/2014,0,0,0,0,0,0,3,6,8,6,10,10,8,10,13,,Rain,Mod Rain,Rain,Heavy Rain,Rain,Mod Rain,19,25,11,0,0,0,,0,0,0,
51,20/08/2014,21,15,10,10,7,4,1,1,-4,4,14,0,11,13,10,,Sleet,Sleet Showers,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,0,0,0,
52,21/08/2014,11,8,5,10,6,3,4,4,1,7,14,5,14,16,14,,Rain,Mod Rain,Partly Cloudy,,Partly Cloudy,,15,0,0,0,0,0,,0,0,0,
53,22/08/2014,5,3,2,5,3,2,3,6,2,5,8,5,8,9,9,,Sleet,Sleet Showers,Rain,Rain Showers,Rain,Mod Rain,0,8,16,0,0,0,,0,0,0,
54,23/08/2014,6,3,2,6,3,2,0,0,-2,2,14,2,10,14,11,,Snow,Mod Snow,Partly Cloudy,,Partly Cloudy,,0,0,0,18,0,0,,17,0,0,
55,24/08/2014,4,3,2,4,3,2,1,4,-1,3,8,3,6,9,7,,Sleet,Sleet Showers,Rain,Mod Rain,Rain,Mod Rain,0,14,19,0,0,0,,14,0,0,
56,25/08/2014,21,13,7,7,4,2,0,4,-5,6,10,3,10,14,10,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,9,0,0,
57,26/08/2014,2,1,1,2,1,1,1,4,2,4,8,5,6,8,8,,Sleet,Sleet Showers,Rain,Rain Showers,Rain,Mod Rain,0,9,20,0,0,0,,2,0,0,
58,27/08/2014,17,10,5,5,3,1,0,0,-4,3,6,0,5,7,5,,Sleet,Sleet Showers,Sleet,Sleet Showers,Rain,Mod Rain,0,0,19,0,0,0,,0,0,0,
59,28/08/2014,1,1,0,1,1,0,2,3,3,7,14,9,12,12,15,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,0,0,0,
60,29/08/2014,0,0,0,0,0,0,-1,1,2,4,12,8,9,9,13,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,0,0,0,
61,30/08/2014,4,3,2,2,1,1,1,1,0,4,12,4,11,12,12,,Sleet,Sleet Showers,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,0,0,0,
62,31/08/2014,2,1,1,2,1,1,2,4,3,7,15,9,12,14,14,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,0,0,0,
63,01/09/2014,0,0,0,0,0,0,1,5,4,3,10,7,6,9,10,,Sleet,Sleet Showers,Rain,Mod Rain,Rain,Mod Rain,0,15,16,0,0,0,,0,0,0,
64,02/09/2014,8,5,2,8,5,2,1,3,-2,3,9,2,6,6,6,,Sleet,Sleet Showers,Rain,Mod Rain,Rain,Mod Rain,0,17,20,0,0,0,,0,0,0,
65,03/09/2014,1,1,0,1,1,0,-1,0,0,1,6,3,4,4,7,,Snow,Light Snow,Sleet,Sleet Showers,Rain,Mod Rain,0,0,14,6,0,0,,6,0,0,
66,04/09/2014,0,0,0,0,0,0,-2,-1,1,0,4,4,3,4,7,,Snow,Light Snow,Sleet,Sleet Showers,Sleet,Sleet Showers,0,0,0,6,0,0,,12,0,0,
67,05/09/2014,0,0,0,0,0,0,1,4,5,3,10,8,6,8,11,,Sleet,Sleet Showers,Rain,Rain Showers,Rain,Mod Rain,0,10,18,0,0,0,,10,0,0,
68,06/09/2014,58,38,24,25,16,10,0,1,-8,3,14,-3,10,11,8,,Sleet,Sleet Showers,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,4,0,0,
69,07/09/2014,1,1,0,1,1,0,-5,-4,-3,-2,6,0,5,8,8,,Snow,Snow Showers,Sunny,,Sunny,,0,0,0,3,0,0,,7,0,0,
70,08/09/2014,33,20,12,22,14,8,2,9,-4,7,11,4,12,19,11,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,,0,0,0,
71,09/09/2014,8,6,4,8,6,4,0,3,-3,3,14,1,10,13,10,,Sleet,Sleet Showers,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,0,0,0,
72,10/09/2014,5,3,2,5,3,2,-1,-1,-3,4,11,4,9,11,10,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,0,0,0,
73,11/09/2014,46,29,18,18,11,7,0,3,-8,3,14,-3,10,14,8,,Snow,Light Snow,Partly Cloudy,,Partly Cloudy,,0,0,0,9,0,0,,5,0,0,
74,12/09/2014,26,17,11,14,9,5,-5,-1,-13,-3,7,-8,5,9,2,,Snow,Snow Showers,Sunny,,Sunny,,0,0,0,4,0,0,,7,0,0,
75,13/09/2014,34,20,11,14,8,5,-1,3,-8,4,13,0,9,12,7,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,1,0,0,
76,14/09/2014,5,3,1,5,3,1,-2,0,-4,0,12,0,8,9,9,,Snow,Snow Showers,Sunny,,Sunny,,0,0,0,2,0,0,,2,0,0,
77,15/09/2014,7,4,3,7,4,3,-3,-2,-6,-1,8,-2,7,11,7,,Snow,Snow Showers,Sunny,,Sunny,,0,0,0,5,0,0,,7,6,0,
78,16/09/2014,7,4,3,7,4,3,-2,0,-4,1,9,0,9,10,9,,Snow,Light Snow,Partly Cloudy,,Partly Cloudy,,0,0,0,10,0,0,,0,0,0,
79,17/09/2014,1,0,0,1,0,0,-7,-2,-4,-2,5,2,3,11,8,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,,0,0,0,
80,18/09/2014,19,13,9,16,9,5,0,2,-5,3,8,-1,5,5,3,,Sleet,Sleet Showers,Sleet,Sleet Showers,Rain,Rain Showers,0,0,1,0,0,0,,0,0,0,
81,19/09/2014,23,13,7,13,8,4,-4,-2,-11,-1,5,-6,1,2,-1,,Snow,Snow Showers,Snow,Snow Showers,Sleet,Sleet Showers,0,0,0,3,3,0,,1,2,0,
82,20/09/2014,13,7,4,13,7,4,-3,0,-8,2,7,0,7,16,7,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,,0,0,0,
83,21/09/2014,0,0,0,0,0,0,-6,-3,-2,-4,1,1,-1,3,3,,Snow,Snow Showers,Snow,Snow Showers,Snow,Snow Showers,0,0,0,5,5,3,,5,5,3,
84,22/09/2014,15,9,4,15,9,4,-7,-4,-13,-5,7,-8,3,4,2,,Snow,Snow Showers,Sunny,,Sunny,,0,0,0,1,0,0,,5,4,0,
85,23/09/2014,40,23,11,31,20,11,-5,-5,-15,-3,2,-9,0,3,-4,,Snow,Snow Showers,Snow,Snow Showers,Snow,Snow Showers,0,0,0,3,3,1,,5,5,1,
86,24/09/2014,0,0,0,0,0,0,-3,3,4,-6,-1,3,-8,0,1,Yes,Sunny,,Sunny,,Fog,,0,0,0,0,0,0,,0,2,1,
87,25/09/2014,0,0,0,0,0,0,-1,5,3,5,11,8,10,15,14,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,,0,0,0,
88,26/09/2014,87,57,38,29,19,12,-4,-4,-15,-1,5,-10,1,1,-5,,Snow,Snow Showers,Snow,Snow Showers,Sleet,Sleet Showers,0,0,0,3,2,0,,0,1,0,
89,27/09/2014,6,4,3,6,4,3,-2,1,-4,1,5,0,3,7,3,,Snow,Snow Showers,Sleet,Sleet Showers,Rain,Rain Showers,0,0,5,4,0,0,,3,0,0,
90,28/09/2014,32,19,11,18,12,7,-1,4,-8,4,10,0,9,16,7,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,,0,0,0,
91,29/09/2014,54,37,26,14,9,6,-3,2,-12,2,8,-4,7,14,3,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,,0,0,0,
92,30/09/2014,4,2,1,4,2,1,-8,-4,-10,-6,0,-6,-3,-3,-2,,Snow,Snow Showers,Snow,Snow Showers,Snow,Snow Showers,0,0,0,2,2,1,,2,1,1,
93,01/10/2014,12,7,3,12,7,3,-5,-5,-10,-3,3,-5,0,0,-1,,Snow,Snow Showers,Snow,Snow Showers,Snow,Snow Showers,0,0,0,4,4,2,,5,5,3,
94,02/10/2014,8,5,3,8,5,3,-8,-8,-13,-6,6,-8,2,2,2,,Snow,Snow Showers,Sunny,,Sunny,,0,0,0,3,0,0,,7,5,0,
95,03/10/2014,13,9,7,13,7,4,-5,-1,-11,0,5,-3,5,12,3,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,,3,0,0,
96,04/10/2014,5,3,1,5,3,1,-3,-2,-4,0,11,0,8,11,9,,Snow,Snow Showers,Sunny,,Sunny,,0,0,0,2,0,0,,5,0,0,
97,05/10/2014,1,1,0,1,1,0,-5,-1,-3,-2,2,0,0,1,4,,Snow,Snow Showers,Snow,Snow Showers,Sleet,Sleet Showers,0,0,0,2,2,0,,6,2,0,
98,06/10/2014,16,9,4,15,9,4,-12,-12,-19,-9,-2,-14,-2,0,-3,,Snow,Snow Showers,Sunny,,Sunny,,0,0,0,4,0,0,,9,1,0,
99,07/10/2014,50,28,14,13,8,4,-7,-3,-18,-2,1,-9,3,8,0,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,,0,0,0,
100,08/10/2014,1,1,1,1,1,1,-9,-7,-8,-6,1,-5,1,5,4,,Snow,Snow Showers,Sunny,,Sunny,,0,0,0,1,0,0,,1,0,0,
101,09/10/2014,2,2,1,2,2,1,-4,0,-5,-2,1,-1,1,3,3,,Snow,Snow Showers,Snow,Snow Showers,Sleet,Sleet Showers,0,0,0,5,4,0,,6,4,0,
102,10/10/2014,13,8,4,13,8,4,-8,-5,-14,-6,0,-9,-3,1,-5,,Snow,Snow Showers,Snow,Snow Showers,Snow,Snow Showers,0,0,0,2,2,1,,7,5,1,
103,11/10/2014,5,3,2,5,3,2,-9,-6,-12,-7,-1,-8,-4,-2,-5,,Snow,Light Snow,Snow,Light Snow,Snow,Snow Showers,0,0,0,8,7,5,,14,12,6,
104,12/10/2014,17,12,8,17,12,8,-11,-9,-18,-8,4,-13,0,2,-3,,Snow,Snow Showers,Sunny,,Sunny,,0,0,0,3,0,0,,16,11,6,
105,13/10/2014,3,2,1,3,2,1,-14,-13,-15,-11,-7,-11,-9,-8,-8,,Snow,Snow Showers,Snow,Snow Showers,Snow,Snow Showers,0,0,0,5,4,3,,21,15,9,
106,14/10/2014,48,29,17,41,27,17,-10,-6,-21,-7,-3,-16,-5,-1,-11,,Snow,Snow Showers,Snow,Snow Showers,Snow,Snow Showers,0,0,0,4,4,2,,21,16,11,
107,15/10/2014,4,2,1,4,2,1,-8,-4,-10,-5,2,-6,2,4,3,,Snow,Mod Snow,Partly Cloudy,,Partly Cloudy,,0,0,0,11,0,0,,32,16,0,
108,16/10/2014,8,5,3,8,5,3,-11,-9,-16,-6,3,-8,-1,-1,-2,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,31,16,0,
109,17/10/2014,66,44,29,50,33,22,-12,-8,-26,-10,-6,-21,-7,-5,-16,,Snow,Mod Snow,Snow,Light Snow,Snow,Light Snow,0,0,0,13,10,5,,39,23,5,
110,18/10/2014,87,61,43,43,29,19,-7,-3,-20,-5,6,-15,3,4,-4,,Snow,Snow Showers,Sunny,,Sunny,,0,0,0,3,0,0,,35,21,0,
111,19/10/2014,0,0,0,0,0,0,-12,-11,-3,-7,2,1,-2,0,6,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,35,21,0,
112,20/10/2014,77,46,26,31,20,13,-10,-7,-24,-8,4,-19,0,0,-7,,Snow,Heavy Snow,Partly Cloudy,,Partly Cloudy,,0,0,0,21,0,0,,50,19,0,
113,21/10/2014,90,60,39,23,15,10,-15,-13,-31,-12,-5,-25,-5,-1,-13,,Snow,Snow Showers,Sunny,,Sunny,,0,0,0,2,0,0,,45,18,0,
114,22/10/2014,15,10,7,10,7,4,-11,-10,-18,-8,-3,-13,-6,-2,-9,,Snow,Mod Snow,Snow,Mod Snow,Snow,Light Snow,0,0,0,18,13,7,,61,30,7,
115,23/10/2014,16,10,7,9,6,4,-12,-9,-19,-9,-6,-15,-7,-7,-10,,Snow,Snow Showers,Snow,Snow Showers,Snow,Snow Showers,0,0,0,5,4,3,,65,34,10,
116,24/10/2014,18,12,8,14,10,6,-14,-12,-22,-9,-3,-14,-4,2,-7,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,,54,23,0,
117,25/10/2014,1,1,0,1,1,0,-11,-11,-9,-9,3,-5,-1,2,3,,Snow,Light Snow,Partly Cloudy,,Partly Cloudy,,0,0,0,8,0,0,,62,23,0,
118,26/10/2014,1,0,0,1,0,0,-13,-9,-10,-8,-1,-4,-3,0,1,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,62,23,0,
119,27/10/2014,19,12,7,14,9,6,-12,-8,-21,-7,-2,-13,-2,-2,-5,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,60,22,0,
120,28/10/2014,0,0,0,0,0,0,-15,-10,-2,-18,-15,-3,-20,-17,-5,Yes,Sunny,,Sunny,,Fog,,0,0,0,0,0,0,,54,12,0,
121,29/10/2014,10,7,5,10,7,5,-18,-16,-24,-12,-7,-17,-7,-3,-10,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,,49,5,0,
122,30/10/2014,53,35,23,30,18,10,-14,-12,-27,-11,-6,-22,-9,-9,-17,,Snow,Light Snow,Snow,Light Snow,Snow,Snow Showers,0,0,0,6,6,4,,51,10,4,
123,31/10/2014,12,8,6,12,8,6,-18,-14,-25,-15,-10,-21,-13,-10,-17,,Snow,Snow Showers,Snow,Snow Showers,Snow,Snow Showers,0,0,0,2,2,1,,52,11,4,
124,01/11/2014,1,1,1,1,1,1,-11,-9,-10,-8,3,-6,-1,0,2,,Snow,Snow Showers,Sunny,,Sunny,,0,0,0,5,0,0,,57,11,4,
125,02/11/2014,0,0,0,0,0,0,-14,-8,-9,-9,-2,-4,-4,0,2,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,,56,8,3,
126,03/11/2014,100,55,26,30,18,9,-19,-18,-38,-17,-13,-31,-14,-13,-24,,Snow,Snow Showers,Snow,Snow Showers,Snow,Snow Showers,0,0,0,1,1,1,,49,7,4,
127,04/11/2014,43,27,16,16,10,6,-15,-12,-28,-13,-8,-23,-10,-6,-17,,Snow,Snow Showers,Snow,Snow Showers,Snow,Snow Showers,0,0,0,1,1,0,,46,7,4,
128,05/11/2014,4,2,1,4,2,1,-16,-13,-19,-14,-8,-15,-11,-9,-10,,Snow,Snow Showers,Snow,Snow Showers,Snow,Snow Showers,0,0,0,2,1,1,,48,8,5,
129,06/11/2014,0,0,0,0,0,0,-16,-10,-7,-19,-17,-8,-21,-16,-9,Yes,Sunny,,Sunny,,Fog,,0,0,0,0,0,0,,44,2,5,
130,07/11/2014,32,19,11,31,18,10,-11,-11,-21,-8,-5,-15,-6,-6,-10,,Snow,Snow Showers,Snow,Snow Showers,Snow,Snow Showers,0,0,0,5,5,3,,47,6,8,
131,08/11/2014,22,15,9,22,15,8,-14,-12,-23,-11,-5,-18,-9,-8,-13,,Snow,Snow Showers,Snow,Snow Showers,Snow,Snow Showers,0,0,0,5,4,3,,50,8,12,
132,09/11/2014,8,5,2,8,5,2,-14,-12,-19,-9,-3,-11,-4,2,-4,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,,43,2,0,
133,10/11/2014,0,0,0,0,0,0,-13,-10,-5,-15,-11,-6,-18,-11,-7,Yes,Sunny,,Sunny,,Fog,,0,0,0,0,0,0,,39,0,0,
134,11/11/2014,9,6,4,9,6,4,-12,-6,-17,-7,-2,-10,-2,1,-3,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,,30,0,0,
135,12/11/2014,35,19,9,26,15,8,-13,-12,-24,-11,-8,-18,-8,-8,-13,,Snow,Snow Showers,Snow,Snow Showers,Snow,Snow Showers,0,0,0,1,1,0,,29,0,0,
136,13/11/2014,108,63,34,29,17,10,-19,-17,-39,-17,-10,-32,-14,-10,-26,,Snow,Snow Showers,Snow,Snow Showers,Snow,Snow Showers,0,0,0,5,4,3,,25,2,3,
137,14/11/2014,3,2,1,3,2,1,-16,-16,-19,-14,-5,-14,-6,-3,-4,,Snow,Mod Snow,Partly Cloudy,,Partly Cloudy,,0,0,0,15,0,0,,40,2,3,
138,15/11/2014,20,11,5,18,11,5,-15,-15,-25,-13,-5,-19,-5,-1,-8,,Snow,Mod Snow,Partly Cloudy,,Partly Cloudy,,0,0,0,12,0,0,,50,1,3,
139,16/11/2014,12,7,4,12,7,4,-17,-14,-24,-14,-5,-19,-6,-6,-8,,Snow,Mod Snow,Partly Cloudy,,Partly Cloudy,,0,0,0,11,0,0,,60,1,3,
140,17/11/2014,1,0,0,1,0,0,-19,-17,-16,-14,-6,-10,-9,-7,-4,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,60,1,3,
141,18/11/2014,2,1,1,2,1,1,-17,-13,-17,-14,-4,-13,-7,-4,-5,,Snow,Light Snow,Partly Cloudy,,Partly Cloudy,,0,0,0,6,0,0,,66,1,3,
142,19/11/2014,55,36,24,16,10,6,-19,-16,-34,-14,-9,-25,-9,-6,-17,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,62,0,3,
143,20/11/2014,37,21,10,30,17,8,-23,-20,-38,-18,-15,-28,-13,-9,-19,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,,50,0,3,
144,21/11/2014,0,0,0,0,0,0,-18,-15,-15,-15,-11,-11,-13,-12,-8,,Snow,Snow Showers,Snow,Snow Showers,Snow,Snow Showers,0,0,0,3,2,1,,53,2,4,
