Day,Date,Peak_Wind_Gust_kmh,Mid_Wind_Gust_kmh,Valley_Wind_Gust_kmh,Peak_Wind_Speed_kmh,Mid_Wind_Speed_kmh,Valley_Wind_Speed_kmh,Peak_Min_Temp,Peak_Max_Temp,Peak_Feels_Like,Mid_Min_Temp,Mid_Max_Temp,Mid_Feels_Like,Valley_Min_Temp,Valley_Max_Temp,Valley_Feels_Like,Inversion,Peak_Weather2,Peak_Weather5,Mid_Weather2,Mid_Weather5,Valley_Weather2,Valley_Weather5,Peak_Rain_mm,Mid_Rain_mm,Valley_Rain_mm,Peak_Snow_cm,Mid_Snow_cm,Valley_Snow_cm,Thunder,Peak_Snow_depth_cm,Mid_Snow_depth_cm,Base_Snow_depth_cm,
2647,28/09/2021,17,10,5,17,10,5,0,3,-5,5,11,2,10,14,9,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,,0,0,0,
2648,29/09/2021,98,58,32,39,24,14,-9,-4,-23,-3,0,-13,1,7,-5,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,,0,0,0,
2649,30/09/2021,90,58,37,26,16,9,-6,-2,-18,-3,7,-13,4,5,-1,,Snow,Snow Showers,Sunny,,Sunny,,0,0,0,4,0,0,,0,0,0,
2650,01/10/2021,4,3,2,4,3,2,-10,-8,-12,-7,0,-8,0,1,1,,Snow,Snow Showers,Sunny,,Sunny,,0,0,0,1,0,0,,1,0,0,
2651,02/10/2021,3,2,1,3,2,1,-2,1,-3,1,9,1,8,9,10,,Snow,Snow Showers,Sunny,,Sunny,,0,0,0,5,0,0,,5,0,0,
2652,03/10/2021,62,35,18,22,13,7,-5,-4,-16,-3,4,-10,0,1,-5,,Snow,Snow Showers,Snow,Snow Showers,Snow,Snow Showers,0,0,0,2,2,1,,2,1,1,
2653,04/10/2021,0,0,0,0,0,0,-9,-8,-4,-7,-4,-1,-4,0,3,,Snow,Snow Showers,Snow,Snow Showers,Snow,Snow Showers,0,0,0,1,1,0,,3,2,1,
2654,05/10/2021,16,10,6,16,10,6,-4,1,-10,1,3,-2,6,15,5,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,,0,0,0,
2655,06/10/2021,10,5,3,10,5,3,-2,-1,-6,0,7,-2,3,4,3,,Snow,Snow Showers,Sleet,Sleet Showers,Sleet,Sleet Showers,0,0,0,5,0,0,,4,0,0,
2656,07/10/2021,46,28,17,14,8,5,-3,0,-11,0,6,-6,2,6,-2,,Snow,Snow Showers,Snow,Snow Showers,Sleet,Sleet Showers,0,0,0,1,1,0,,1,0,0,
2657,08/10/2021,18,11,6,15,9,5,-11,-5,-18,-6,-1,-10,-1,7,-3,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,,0,0,0,
2658,09/10/2021,0,0,0,0,0,0,-4,0,5,-6,-1,4,-9,-6,3,Yes,Sunny,,Sunny,,Fog,,0,0,0,0,0,0,,0,0,0,
2659,10/10/2021,3,2,1,3,2,1,-9,-5,-10,-6,2,-6,1,1,3,,Snow,Snow Showers,Sunny,,Sunny,,0,0,0,3,0,0,,3,0,0,
2660,11/10/2021,26,16,9,20,12,7,-4,1,-11,1,8,-3,6,12,4,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,,0,0,0,
2661,12/10/2021,0,0,0,0,0,0,-10,-10,-3,-5,4,2,0,1,7,,Cloudy,,Cloudy,,Cloudy,,0,0,0,0,0,0,,0,0,0,
2662,13/10/2021,3,2,1,3,2,1,-9,-5,-11,-4,3,-4,1,2,3,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,0,0,0,
2663,14/10/2021,57,35,20,19,12,7,-12,-8,-25,-9,-4,-19,-7,-7,-13,,Snow,Snow Showers,Snow,Snow Showers,Snow,Snow Showers,0,0,0,1,1,1,,0,0,1,
2664,15/10/2021,7,4,2,7,4,2,-11,-10,-15,-8,-1,-10,-1,1,0,,Snow,Mod Snow,Partly Cloudy,,Partly Cloudy,,0,0,0,20,0,0,,19,0,1,
2665,16/10/2021,12,7,4,12,7,4,-11,-8,-17,-6,0,-9,-1,-1,-2,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,18,0,0,
2666,17/10/2021,32,21,14,11,7,4,-11,-7,-21,-8,0,-16,-1,0,-5,,Snow,Mod Snow,Partly Cloudy,,Partly Cloudy,,0,0,0,19,0,0,,34,0,0,
2667,18/10/2021,14,8,4,14,8,4,-11,-11,-18,-9,-6,-13,-6,-6,-8,,Snow,Snow Showers,Snow,Snow Showers,Snow,Snow Showers,0,0,0,1,1,1,,34,0,1,
2668,19/10/2021,3,2,1,3,2,1,-9,-8,-11,-7,-2,-6,-4,-4,-2,,Snow,Light Snow,Snow,Light Snow,Snow,Snow Showers,0,0,0,7,5,4,,41,5,4,
2669,20/10/2021,11,6,4,11,6,4,-12,-10,-18,-10,0,-14,-2,-1,-3,,Snow,Light Snow,Partly Cloudy,,Partly Cloudy,,0,0,0,10,0,0,,50,5,4,
2670,21/10/2021,10,7,4,10,7,4,-13,-11,-18,-10,-4,-14,-8,-4,-10,,Snow,Mod Snow,Snow,Light Snow,Snow,Light Snow,0,0,0,12,9,7,,61,13,11,
2671,22/10/2021,2,2,1,2,2,1,-11,-8,-11,-8,-6,-8,-6,-3,-4,,Snow,Heavy Snow,Snow,Mod Snow,Snow,Mod Snow,0,0,0,23,19,12,,84,32,23,
2672,23/10/2021,7,4,2,7,4,2,-13,-12,-17,-10,-8,-13,-8,-5,-8,,Snow,Mod Snow,Snow,Mod Snow,Snow,Light Snow,0,0,0,15,11,7,,98,43,29,
2673,24/10/2021,147,83,41,75,44,23,-13,-13,-32,-8,-1,-21,-3,0,-11,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,85,39,29,
2674,25/10/2021,125,71,36,71,42,22,-13,-13,-31,-11,-7,-24,-8,-4,-18,,Snow,Snow Showers,Snow,Snow Showers,Snow,Snow Showers,0,0,0,1,1,0,,75,36,30,
2675,26/10/2021,130,81,48,55,32,17,-12,-8,-30,-10,-3,-24,-7,-5,-18,,Snow,Light Snow,Snow,Light Snow,Snow,Snow Showers,0,0,0,9,8,4,,72,41,34,
2676,27/10/2021,67,39,20,47,27,13,-16,-12,-32,-14,-7,-26,-11,-9,-20,,Snow,Snow Showers,Snow,Snow Showers,Snow,Snow Showers,0,0,0,5,4,2,,71,42,36,
2677,28/10/2021,3,2,1,3,2,1,-11,-10,-13,-9,0,-9,-1,2,0,,Snow,Mod Snow,Partly Cloudy,,Partly Cloudy,,0,0,0,15,0,0,,86,42,36,
2678,29/10/2021,43,24,12,43,24,12,-12,-8,-23,-7,0,-14,-2,-1,-6,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,82,40,34,
2679,30/10/2021,11,6,3,11,6,3,-14,-13,-20,-11,-9,-15,-9,-8,-10,,Snow,Snow Showers,Snow,Snow Showers,Snow,Snow Showers,0,0,0,5,4,3,,86,43,37,
2680,31/10/2021,120,67,32,68,39,20,-9,-7,-24,-6,4,-18,1,3,-5,,Snow,Snow Showers,Sunny,,Sunny,,0,0,0,1,0,0,,76,40,28,
2681,01/11/2021,12,6,3,12,6,3,-16,-13,-23,-13,-3,-18,-6,-4,-7,,Snow,Heavy Snow,Partly Cloudy,,Partly Cloudy,,0,0,0,21,0,0,,96,39,28,
2682,02/11/2021,75,42,20,52,30,16,-14,-13,-30,-12,-7,-23,-9,-8,-17,,Snow,Snow Showers,Snow,Snow Showers,Snow,Snow Showers,0,0,0,1,1,1,,90,37,28,
2683,03/11/2021,8,4,2,8,4,2,-11,-11,-16,-9,-1,-11,-1,3,-1,,Snow,Snow Showers,Sunny,,Sunny,,0,0,0,1,0,0,,91,37,28,
2684,04/11/2021,110,60,27,69,41,23,-17,-11,-36,-12,-6,-26,-7,2,-16,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,,78,32,9,
2685,05/11/2021,148,94,57,56,34,20,-11,-7,-28,-8,0,-22,0,1,-9,,Snow,Snow Showers,Sunny,,Sunny,,0,0,0,4,0,0,,69,29,9,
2686,06/11/2021,0,0,0,0,0,0,-14,-11,-9,-9,-5,-3,-4,-1,2,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,,66,21,9,
2687,07/11/2021,9,6,3,9,6,3,-18,-18,-24,-15,-4,-19,-8,-7,-9,,Snow,Snow Showers,Sunny,,Sunny,,0,0,0,5,0,0,,70,21,9,
2688,08/11/2021,12,7,3,12,7,3,-15,-12,-22,-12,-6,-17,-10,-10,-11,,Snow,Snow Showers,Snow,Snow Showers,Snow,Snow Showers,0,0,0,5,4,2,,74,24,11,
2689,09/11/2021,150,86,43,54,32,18,-15,-11,-35,-13,-2,-28,-5,-4,-14,,Snow,Snow Showers,Sunny,,Sunny,,0,0,0,5,0,0,,65,21,11,
2690,10/11/2021,55,38,26,41,26,15,-15,-12,-29,-13,-7,-24,-10,-10,-19,,Snow,Snow Showers,Snow,Snow Showers,Snow,Snow Showers,0,0,0,3,2,1,,63,21,12,
2691,11/11/2021,16,10,6,16,10,6,-15,-11,-24,-13,-6,-18,-10,-7,-14,,Snow,Snow Showers,Snow,Snow Showers,Snow,Snow Showers,0,0,0,2,2,1,,64,22,13,
2692,12/11/2021,26,15,7,26,15,7,-17,-10,-29,-12,-5,-20,-7,0,-11,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,,51,18,13,
2693,13/11/2021,64,39,21,48,31,19,-17,-15,-32,-11,-4,-23,-7,-7,-14,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,46,15,13,
2694,14/11/2021,17,10,5,17,10,5,-15,-13,-23,-12,-1,-18,-5,-2,-7,,Snow,Snow Showers,Sunny,,Sunny,,0,0,0,5,0,0,,49,14,13,
2695,15/11/2021,51,30,17,48,30,17,-20,-17,-35,-17,-12,-29,-15,-13,-23,,Snow,Snow Showers,Snow,Snow Showers,Snow,Snow Showers,0,0,0,3,2,2,,47,14,15,
2696,16/11/2021,57,38,26,57,36,22,-19,-16,-35,-14,-7,-26,-9,-9,-17,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,42,11,15,
2697,17/11/2021,137,92,62,55,34,20,-17,-11,-37,-12,-8,-28,-7,-2,-19,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,,21,0,15,
2698,18/11/2021,3,2,1,3,2,1,-19,-17,-21,-17,-11,-17,-14,-13,-12,,Snow,Heavy Snow,Snow,Heavy Snow,Snow,Light Snow,0,0,0,24,24,10,,45,24,25,
2699,19/11/2021,9,6,4,9,6,4,-19,-18,-26,-14,-8,-18,-9,-9,-11,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,44,23,25,
2700,20/11/2021,2,1,1,2,1,1,-18,-15,-19,-16,-8,-15,-8,-7,-6,,Snow,Heavy Snow,Partly Cloudy,,Partly Cloudy,,0,0,0,23,0,0,,67,23,25,
2701,21/11/2021,77,47,27,57,34,18,-18,-14,-34,-15,-11,-28,-12,-10,-22,,Snow,Light Snow,Snow,Light Snow,Snow,Snow Showers,0,0,0,7,5,4,,67,26,28,
2702,22/11/2021,112,64,33,46,27,15,-21,-20,-41,-18,-15,-34,-16,-12,-27,,Snow,Mod Snow,Snow,Mod Snow,Snow,Light Snow,0,0,0,18,16,9,,75,39,37,
2703,23/11/2021,44,24,11,37,22,11,-18,-16,-32,-13,-6,-22,-8,-7,-13,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,71,37,37,
2704,24/11/2021,4,2,1,4,2,1,-21,-18,-24,-16,-9,-17,-11,-10,-10,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,71,37,37,
2705,25/11/2021,5,3,2,5,3,2,-21,-21,-26,-16,-8,-18,-11,-9,-11,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,70,37,37,
2706,26/11/2021,77,50,32,37,23,13,-20,-19,-38,-18,-14,-32,-15,-14,-26,,Snow,Snow Showers,Snow,Snow Showers,Snow,Snow Showers,0,0,0,1,1,0,,64,36,37,
2707,27/11/2021,81,46,23,47,28,15,-20,-19,-39,-18,-14,-32,-15,-11,-25,,Snow,Mod Snow,Snow,Mod Snow,Snow,Light Snow,0,0,0,16,15,8,,73,48,45,
2708,28/11/2021,3,1,1,3,1,1,-21,-21,-23,-19,-9,-18,-11,-9,-9,,Snow,Snow Showers,Partly Cloudy,,Partly Cloudy,,0,0,0,4,0,0,,77,48,45,
2709,29/11/2021,46,30,18,38,23,12,-19,-18,-34,-14,-6,-25,-9,-6,-17,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,72,46,45,
2710,30/11/2021,35,20,10,33,19,10,-21,-21,-35,-19,-14,-29,-16,-16,-23,,Snow,Mod Snow,Snow,Light Snow,Snow,Light Snow,0,0,0,13,9,7,,82,53,52,
2711,01/12/2021,2,1,1,2,1,1,-20,-16,-21,-17,-15,-16,-15,-14,-12,,Snow,Mod Snow,Snow,Mod Snow,Snow,Light Snow,0,0,0,14,12,6,,96,65,58,
2712,02/12/2021,16,11,8,16,11,8,-21,-20,-30,-18,-16,-26,-16,-12,-21,,Snow,Mod Snow,Snow,Light Snow,Snow,Light Snow,0,0,0,13,10,5,,108,74,63,
2713,03/12/2021,150,87,45,74,44,25,-20,-13,-42,-15,-12,-31,-10,-5,-21,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,,92,61,63,
2714,04/12/2021,12,7,3,12,7,3,-23,-19,-32,-18,-10,-23,-13,-9,-15,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,91,60,63,
2715,05/12/2021,3,2,1,3,2,1,-22,-19,-25,-19,-15,-20,-17,-15,-15,,Snow,Mod Snow,Snow,Light Snow,Snow,Light Snow,0,0,0,14,10,7,,105,70,70,
2716,06/12/2021,11,7,4,11,7,4,-21,-17,-29,-19,-11,-24,-11,-8,-13,,Snow,Heavy Snow,Partly Cloudy,,Partly Cloudy,,0,0,0,21,0,0,,125,69,70,
2717,07/12/2021,110,64,33,70,43,24,-22,-22,-43,-20,-12,-36,-12,-8,-23,,Snow,Light Snow,Partly Cloudy,,Partly Cloudy,,0,0,0,9,0,0,,124,66,70,
2718,08/12/2021,97,54,25,56,35,20,-21,-19,-41,-19,-8,-34,-11,-8,-20,,Snow,Snow Showers,Sunny,,Sunny,,0,0,0,5,0,0,,120,62,70,
2719,09/12/2021,135,91,61,50,32,20,-23,-20,-47,-21,-16,-40,-18,-14,-34,,Snow,Mod Snow,Snow,Mod Snow,Snow,Light Snow,0,0,0,16,13,7,,124,73,78,
2720,10/12/2021,116,68,36,31,19,11,-27,-24,-51,-22,-20,-40,-17,-13,-30,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,,108,70,78,
2721,11/12/2021,27,16,9,16,10,7,-24,-23,-38,-22,-18,-32,-19,-15,-26,,Snow,Snow Showers,Snow,Snow Showers,Snow,Snow Showers,0,0,0,5,4,3,,110,73,81,
2722,12/12/2021,1,1,0,1,1,0,-25,-23,-24,-19,-12,-17,-15,-14,-11,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,110,73,81,
2723,13/12/2021,6,4,3,6,4,3,-24,-24,-29,-21,-11,-25,-14,-11,-15,,Snow,Snow Showers,Sunny,,Sunny,,0,0,0,1,0,0,,110,72,81,
2724,14/12/2021,13,9,7,13,9,6,-28,-24,-38,-25,-23,-33,-23,-23,-29,,Snow,Snow Showers,Snow,Snow Showers,Snow,Snow Showers,0,0,0,5,4,3,,114,75,84,
2725,15/12/2021,52,34,22,14,9,6,-25,-24,-42,-22,-20,-36,-20,-19,-31,,Snow,Mod Snow,Snow,Mod Snow,Snow,Light Snow,0,0,0,15,13,8,,125,87,92,
2726,16/12/2021,0,0,0,0,0,0,-19,-19,-13,-16,-5,-9,-9,-5,-1,,Snow,Snow Showers,Sunny,,Sunny,,0,0,0,1,0,0,,126,87,92,
2727,17/12/2021,13,8,5,13,8,5,-25,-22,-34,-20,-15,-26,-15,-11,-18,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,,122,81,92,
2728,18/12/2021,30,18,10,18,11,5,-27,-23,-42,-22,-20,-32,-17,-10,-24,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,,110,76,92,
2729,19/12/2021,0,0,0,0,0,0,-24,-22,-13,-19,-10,-8,-14,-13,-3,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,110,76,92,
2730,20/12/2021,5,3,1,5,3,1,-24,-20,-29,-22,-10,-24,-14,-12,-14,,Snow,Light Snow,Partly Cloudy,,Partly Cloudy,,0,0,0,10,0,0,,119,76,92,
2731,21/12/2021,0,0,0,0,0,0,-23,-20,-7,-18,-13,-3,-13,-13,1,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,119,76,92,
2732,22/12/2021,22,13,7,22,13,7,-24,-24,-36,-19,-13,-27,-14,-12,-19,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,117,75,92,
2733,23/12/2021,70,39,19,22,12,6,-23,-22,-42,-21,-16,-35,-18,-16,-28,,Snow,Mod Snow,Snow,Mod Snow,Snow,Light Snow,0,0,0,19,14,10,,130,87,102,
2734,24/12/2021,1,1,0,1,1,0,-25,-22,-24,-23,-11,-20,-15,-15,-12,,Snow,Mod Snow,Partly Cloudy,,Partly Cloudy,,0,0,0,11,0,0,,141,87,102,
2735,25/12/2021,9,5,3,9,5,3,-25,-25,-33,-23,-19,-28,-20,-18,-22,,Snow,Light Snow,Snow,Light Snow,Snow,Snow Showers,0,0,0,10,7,4,,150,94,106,
2736,26/12/2021,10,6,4,10,6,4,-26,-24,-34,-20,-11,-26,-15,-11,-18,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,149,93,106,
2737,27/12/2021,62,35,17,21,12,6,-26,-22,-44,-20,-12,-34,-16,-13,-24,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,144,92,106,
2738,28/12/2021,0,0,0,0,0,0,-29,-25,-25,-26,-24,-21,-24,-22,-17,,Snow,Snow Showers,Snow,Snow Showers,Snow,Snow Showers,0,0,0,2,1,1,,146,94,107,
2739,29/12/2021,0,0,0,0,0,0,-24,-23,-19,-19,-10,-13,-14,-11,-7,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,146,94,107,
2740,30/12/2021,66,38,20,16,10,5,-26,-23,-45,-23,-21,-38,-21,-21,-31,,Snow,Light Snow,Snow,Light Snow,Snow,Snow Showers,0,0,0,8,7,4,,148,100,110,
2741,31/12/2021,8,5,2,8,5,2,-26,-26,-33,-23,-16,-28,-16,-16,-17,,Snow,Mod Snow,Partly Cloudy,,Partly Cloudy,,0,0,0,17,0,0,,164,100,110,
2742,01/01/2022,1,1,0,1,1,0,-26,-23,-24,-21,-13,-18,-16,-15,-11,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,164,99,110,
2743,02/01/2022,9,5,2,9,5,2,-26,-22,-34,-23,-20,-28,-21,-17,-22,,Snow,Mod Snow,Snow,Mod Snow,Snow,Light Snow,0,0,0,17,12,8,,180,111,118,
2744,03/01/2022,17,11,7,17,11,6,-27,-27,-38,-24,-13,-33,-17,-16,-22,,Snow,Mod Snow,Partly Cloudy,,Partly Cloudy,,0,0,0,15,0,0,,193,110,118,
2745,04/01/2022,8,5,3,8,5,3,-24,-20,-31,-21,-15,-26,-19,-16,-21,,Snow,Mod Snow,Snow,Mod Snow,Snow,Light Snow,0,0,0,14,13,6,,207,122,125,
2746,05/01/2022,4,2,2,4,2,2,-26,-26,-30,-23,-19,-25,-21,-21,-21,,Snow,Light Snow,Snow,Light Snow,Snow,Snow Showers,0,0,0,7,5,4,,213,128,128,
2747,06/01/2022,23,13,6,23,13,6,-26,-23,-39,-23,-12,-33,-16,-16,-20,,Snow,Light Snow,Partly Cloudy,,Partly Cloudy,,0,0,0,9,0,0,,220,126,128,
2748,07/01/2022,17,9,4,17,9,4,-27,-23,-38,-24,-20,-32,-22,-20,-26,,Snow,Light Snow,Snow,Light Snow,Snow,Snow Showers,0,0,0,9,7,5,,228,133,133,
2749,08/01/2022,37,24,16,37,23,14,-27,-26,-43,-24,-21,-37,-22,-20,-32,,Snow,Heavy Snow,Snow,Mod Snow,Snow,Light Snow,0,0,0,21,18,8,,246,148,142,
2750,09/01/2022,18,10,5,18,10,5,-27,-23,-39,-24,-13,-32,-17,-14,-20,,Snow,Light Snow,Partly Cloudy,,Partly Cloudy,,0,0,0,8,0,0,,252,147,142,
2751,10/01/2022,23,16,10,23,16,10,-26,-23,-39,-23,-17,-34,-21,-20,-29,,Snow,Mod Snow,Snow,Mod Snow,Snow,Light Snow,0,0,0,13,13,8,,263,159,150,
2752,11/01/2022,0,0,0,0,0,0,-30,-27,-23,-25,-23,-17,-20,-14,-12,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,,260,157,150,
2753,12/01/2022,44,28,18,32,20,12,-26,-21,-43,-21,-17,-33,-16,-10,-25,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,,255,149,150,
2754,13/01/2022,106,62,32,39,24,15,-24,-24,-46,-22,-14,-39,-14,-12,-25,,Snow,Heavy Snow,Partly Cloudy,,Partly Cloudy,,0,0,0,25,0,0,,270,147,150,
2755,14/01/2022,32,22,16,27,18,11,-24,-21,-38,-19,-12,-30,-14,-10,-22,,Sunny,,Sunny,,Sunny,,0,0,0,0,0,0,,267,144,150,
2756,15/01/2022,3,2,1,3,2,1,-27,-27,-30,-22,-14,-23,-17,-13,-16,,Partly Cloudy,,Partly Cloudy,,Partly Cloudy,,0,0,0,0,0,0,,266,144,150,
2757,16/01/2022,7,4,2,7,4,2,-26,-25,-33,-24,-21,-28,-21,-19,-23,,Snow,Snow Showers,Snow,Snow Showers,Snow,Snow Showers,0,0,0,3,3,1,,269,146,151,
2758,17/01/2022,12,8,4,12,8,4,-26,-24,-36,-24,-17,-30,-21,-17,-25,,Snow,Light Snow,Snow,Light Snow,Snow,Snow Showers,0,0,0,9,8,4,,276,153,155,
