Date,Temp C,Feels Like C,Wind Gust kmh,Wind Speed kmh,Weather2,Blizzard?,Weather4,Snow depth cm,Thunder Chance
11/11/2014,-1.56,-10,50.98,26.12,Snow,,Calm,25.4175052,
12/11/2014,-3.77,-16,95.54,19,Snow,Blizzard,Stormy,20.86310029,
13/11/2014,-0.98,7,0.01,0.01,Cloudy,,Foggy,20.86213547,
14/11/2014,-1.19,-5,9.76,9.76,Snow,,Calm,24.8864363,
15/11/2014,-9.4,-7,0.66,0.66,Sunny,,Calm,19.8207225,
16/11/2014,-3.6,-11,25.9,20.78,Sunny,,Calm,7.231121121,
17/11/2014,-7.81,1,0.02,0.02,Cloudy,,Foggy,7.229569224,
18/11/2014,-7.02,-6,1.11,1.11,Snow,,Calm,9.118904907,
19/11/2014,-11.22,-24,57.11,33.33,Snow,,Calm,7.408238346,
20/11/2014,-11.42,-7,0.25,0.25,Sunny,,Calm,0,
21/11/2014,-9.63,-19,28.25,28.25,Sunny,,Calm,0,
22/11/2014,-9.83,-20,32.83,32.83,Snow,,Calm,1.717387642,
23/11/2014,-6.03,-15,38.24,38.24,Snow,,Calm,1.893048532,
24/11/2014,-4.23,-15,71.39,54.25,Snow,,Windy,0,
25/11/2014,-4.42,-7,5.27,5.27,Snow,,Calm,0.472895227,
26/11/2014,-4.62,-3,1.25,1.25,Snow,,Calm,2.348121592,
27/11/2014,-5.81,-13,22.1,22.1,Snow,,Calm,1.137728804,
28/11/2014,-7.01,-20,90.85,46.96,Snow,,Windy,0,
29/11/2014,-9.2,-26,150,45.09,Snow,Blizzard,Stormy,4,
30/11/2014,-13.39,-25,38.89,30.06,Snow,,Calm,3.110918485,
01/12/2014,-10.58,-15,6.9,6.9,Sunny,,Calm,0,
02/12/2014,-11.76,-8,0.48,0.48,Sunny,,Calm,0,
03/12/2014,-9.95,-7,0.46,0.46,Sunny,,Calm,0,
04/12/2014,-13.13,-25,41.17,34.66,Snow,,Calm,5.883351785,
05/12/2014,-11.31,-26,77.77,30.24,Sunny,,Stormy,0,
06/12/2014,-10.49,-22,44.78,19.44,Snow,Blizzard,Stormy,1.52169176,
07/12/2014,-11.67,-19,15.41,13.63,Sunny,,Calm,0,
08/12/2014,-11.85,-20,21.33,13.68,Snow,,Calm,13.86712075,
09/12/2014,-12.02,-23,36.75,14.56,Snow,Blizzard,Stormy,34.19180475,
10/12/2014,-12.2,-16,5.41,5.41,Snow,,Calm,48.65107013,
11/12/2014,-14.37,-21,10.25,10.25,Sunny,,Calm,46.62578824,
12/12/2014,-14.53,-15,2.11,2.11,Sunny,,Calm,38.41481424,
13/12/2014,-14.7,-18,4.13,4.13,Snow,,Calm,49.00161987,
14/12/2014,-13.86,-22,15.79,15.79,Sunny,,Calm,39.42248746,
15/12/2014,-17.02,-28,27.44,27.44,Sunny,,Calm,35.67831969,
16/12/2014,-17.18,-26,16.26,16.26,Snow,,Calm,54.05205095,
17/12/2014,-14.34,-29,61.78,61.78,Sunny,,Windy,43.87434112,
18/12/2014,-16.5,-35,108.61,82.48,Sunny,,Windy,29.0136055,
19/12/2014,-16.65,-37,146.22,67.62,Snow,Blizzard,Stormy,35.39153967,
20/12/2014,-13.8,-6,0.07,0.07,Sunny,,Calm,33.38494602,
21/12/2014,-11.95,-29,126.41,55.19,Snow,Blizzard,Stormy,21.74429284,
22/12/2014,-17.09,-36,111.36,49.34,Sunny,,Stormy,2.608152992,
23/12/2014,-17.23,-29,32.68,32.68,Snow,,Calm,3.339803395,
24/12/2014,-17.37,-32,52.05,30.47,Snow,,Calm,14.13511992,
25/12/2014,-20.51,-25,4.57,4.57,Snow,,Calm,18.67769357,
26/12/2014,-13.65,-8,0.2,0.2,Snow,,Calm,19.65742654,
27/12/2014,-18.78,-35,59.06,59.06,Snow,,Windy,14.75162932,
28/12/2014,-19.91,-38,85.43,51.64,Sunny,,Windy,2.208781673,
29/12/2014,-20.04,-14,0.17,0.17,Snow,,Calm,6.191302928,
30/12/2014,-20.16,-28,11.78,11.78,Snow,,Calm,8.013136268,
31/12/2014,-18.28,-40,150,57.94,Snow,Blizzard,Stormy,0,
01/01/2015,-17.48,-28,21.69,21.69,Snow,,Calm,0,
02/01/2015,-15.59,-33,92.36,36.2,Sunny,,Stormy,0,
03/01/2015,-19.7,-12,0.07,0.07,Cloudy,,Foggy,0,
04/01/2015,-20.81,-39,70.73,25.7,Sunny,,Stormy,0,
05/01/2015,-22.92,-40,59.53,17.91,Sunny,,Stormy,0,
06/01/2015,-22.02,-30,11.22,11.22,Snow,,Calm,9.878479287,
07/01/2015,-19.12,-26,8.88,8.88,Sunny,,Calm,1.990577901,
08/01/2015,-22.21,-30,10.64,10.64,Sunny,,Calm,0,
09/01/2015,-19.31,-28,14.44,14.44,Sunny,,Calm,0,
10/01/2015,-22.4,-27,4.49,4.49,Snow,,Calm,11.55092029,
11/01/2015,-22.48,-33,16.19,16.19,Snow,,Calm,26.93171773,
12/01/2015,-21.57,-38,53.83,35.61,Snow,,Calm,34.54901922,
13/01/2015,-20.65,-32,23.2,23.2,Snow,,Calm,45.22929124,
14/01/2015,-19.73,-38,77.73,30.31,Snow,Blizzard,Stormy,50.45663921,
15/01/2015,-22.8,-38,43.27,19.38,Snow,Blizzard,Stormy,58.12965132,
16/01/2015,-21.87,-32,16.34,13.7,Sunny,,Calm,53.49547951,
17/01/2015,-21.94,-33,22.29,12.33,Snow,,Calm,70.26608546,
18/01/2015,-20.01,-28,12.6,9.16,Snow,,Calm,94.00566722,
19/01/2015,-22.07,-32,15.02,15.02,Snow,,Calm,103.5039427,
20/01/2015,-22.13,-34,24.93,17.14,Snow,,Calm,118.0113527,
21/01/2015,-22.19,-22,1.24,1.24,Snow,,Calm,137.8872127,
22/01/2015,-20.24,-23,3.47,3.47,Sunny,,Calm,127.5406103,
23/01/2015,-22.29,-28,6.79,6.79,Snow,,Calm,131.8613348,
24/01/2015,-22.33,-15,0.09,0.09,Snow,,Calm,140.8521565,
25/01/2015,-23.38,-43,81.59,44.27,Sunny,,Windy,124.693105,
26/01/2015,-19.42,-20,1.85,1.85,Sunny,,Calm,118.5085144,
27/01/2015,-17.46,-21,4.55,4.55,Snow,,Calm,119.0530171,
28/01/2015,-22.49,-26,4.04,4.04,Sunny,,Calm,117.6490249,
29/01/2015,-19.52,-38,82.43,48.44,Snow,,Windy,114.4064358,
30/01/2015,-21.55,-43,124.01,36.82,Sunny,,Stormy,97.00583569,
31/01/2015,-25.57,-35,11.46,11.46,Sunny,,Calm,94.86027297,
01/02/2015,-20.59,-21,1.69,1.69,Snow,,Calm,95.69098168,
02/02/2015,-21.61,-31,16.35,16.35,Sunny,,Calm,92.05598738,
03/02/2015,-25.62,-46,80.88,15.31,Sunny,,Stormy,73.9682691,
04/02/2015,-21.64,-33,22.26,4.95,Snow,Blizzard,Stormy,73.74195862,
05/02/2015,-20.64,-20,1.1,1.1,Snow,,Calm,77.63204436,
06/02/2015,-25.65,-14,0.02,0.02,Cloudy,,Foggy,77.63038118,
07/02/2015,-24.65,-24,1.34,1.34,Sunny,,Calm,70.49672723,
08/02/2015,-22.65,-21,0.83,0.83,Snow,,Calm,73.41394953,
09/02/2015,-25.65,-23,0.72,0.72,Snow,,Calm,76.34182302,
10/02/2015,-21.64,-28,8.37,6.11,Snow,,Calm,76.50466459,
11/02/2015,-23.63,-34,16.12,6.12,Snow,Blizzard,Stormy,78.89219147,
12/02/2015,-25.61,-25,1.35,1.35,Sunny,,Calm,76.75727812,
13/02/2015,-19.6,-21,2.13,2.13,Snow,,Calm,78.54439656,
14/02/2015,-20.57,-29,13.37,13.37,Snow,,Calm,82.20741275,
15/02/2015,-17.55,-12,0.19,0.19,Sunny,,Calm,74.18886323,
16/02/2015,-20.52,-20,1.21,1.21,Snow,,Calm,76.06777014,
17/02/2015,-21.5,-28,8.44,8.44,Snow,,Calm,80.22391352,
18/02/2015,-26.46,-45,52.34,28.43,Snow,,Calm,77.99005258,
19/02/2015,-22.43,-38,45.34,22.11,Sunny,,Stormy,66.45592941,
20/02/2015,-24.39,-31,7.35,7.35,Snow,,Calm,70.72082928,
21/02/2015,-23.35,-22,0.98,0.98,Snow,,Calm,75.62322897,
22/02/2015,-19.3,-30,21.65,21.65,Snow,,Calm,77.45832921,
23/02/2015,-25.25,-42,45.05,35.45,Snow,,Calm,77.95308513,
24/02/2015,-20.2,-32,26.28,26.28,Sunny,,Calm,74.32471058,
25/02/2015,-16.15,-22,8.14,8.14,Snow,,Calm,77.51087874,
26/02/2015,-25.09,-47,104.62,39.96,Snow,Blizzard,Stormy,69.04921437,
27/02/2015,-19.03,-35,56.63,25.18,Snow,Blizzard,Stormy,74.38660775,
28/02/2015,-24.97,-28,3.39,3.39,Snow,,Calm,79.04782423,
01/03/2015,-17.9,-21,4.06,4.06,Sunny,,Calm,76.64181166,
02/03/2015,-18.83,-23,5.31,5.31,Snow,,Calm,79.11108129,
03/03/2015,-22.76,-39,50.38,26.3,Sunny,,Calm,67.07349368,
04/03/2015,-21.69,-38,55.38,29.15,Snow,,Calm,81.53553133,
05/03/2015,-20.61,-20,1.14,1.14,Sunny,,Calm,74.42186515,
06/03/2015,-16.53,-29,33,22.08,Sunny,,Calm,64.12190359,
07/03/2015,-17.45,-22,6.16,6.16,Sunny,,Calm,57.50610199,
08/03/2015,-22.37,-29,8.6,8.6,Sunny,,Calm,53.64601985,
09/03/2015,-17.28,-29,29.42,24.65,Snow,,Calm,71.70444044,
10/03/2015,-18.19,-35,70.36,20.44,Snow,Blizzard,Stormy,66.66886853,
11/03/2015,-17.1,-22,5.93,5.93,Snow,,Calm,88.07576458,
12/03/2015,-17,-16,1.09,1.09,Snow,,Calm,95.96662606,
13/03/2015,-16.9,-27,23.02,15.06,Snow,,Calm,113.66485,
14/03/2015,-16.8,-21,5.66,5.66,Snow,,Calm,118.0988106,
15/03/2015,-17.7,-31,37.05,18.88,Snow,,Calm,123.3934705,
16/03/2015,-13.59,0,0,0,Sunny,,Calm,119.3934392,
17/03/2015,-19.49,-30,20.93,17.93,Snow,,Calm,118.3006683,
18/03/2015,-17.38,-21,5,5,Snow,,Calm,128.8004513,
19/03/2015,-14.26,-22,13.79,13.79,Sunny,,Calm,118.4213427,
20/03/2015,-16.15,-29,42.16,16.5,Snow,Blizzard,Stormy,129.2056961,
21/03/2015,-17.03,-25,13.22,13.22,Sunny,,Calm,120.8831997,
22/03/2015,-17.91,-27,18.19,12.21,Snow,,Calm,121.0643748,
23/03/2015,-14.79,-22,12.2,10.19,Snow,,Calm,120.8439311,
24/03/2015,-17.67,-18,1.93,1.93,Snow,,Calm,125.6513302,
25/03/2015,-13.54,-19,7.95,7.95,Sunny,,Calm,116.8559783,
26/03/2015,-12.42,-21,19.87,9.17,Snow,Blizzard,Stormy,119.8693003,
27/03/2015,-16.29,-27,25.29,15.13,Snow,,Calm,122.3402835,
28/03/2015,-15.16,-4,0.01,0.01,Cloudy,,Foggy,122.3395039,
29/03/2015,-10.02,-12,4.12,4.12,Snow,,Calm,124.9279168,
30/03/2015,-14.89,-16,2.18,2.18,Snow,,Calm,128.7102564,
31/03/2015,-14.75,-20,8.82,8.82,Snow,,Calm,130.8284573,
01/04/2015,-16.61,-20,3.93,3.93,Snow,,Calm,134.4350167,
02/04/2015,-12.37,-26,61.57,20.25,Sunny,,Stormy,120.2781063,
03/04/2015,-13.13,-24,30.82,13.67,Sunny,,Stormy,113.1957678,
04/04/2015,-10.88,-8,0.66,0.66,Snow,,Calm,118.1294672,
05/04/2015,-11.64,-22,31.53,11.25,Sunny,,Stormy,112.9762488,
06/04/2015,-10.39,-5,0.14,0.14,Sunny,,Calm,103.9618472,
07/04/2015,-11.14,-17,10.09,7.57,Snow,,Calm,109.952547,
08/04/2015,-9.89,-14,6.91,6.13,Snow,,Calm,120.2611554,
09/04/2015,-10.64,-18,15.53,8.07,Snow,,Calm,138.7084691,
10/04/2015,-9.39,-16,14.41,6.53,Snow,Blizzard,Stormy,140.2679658,
11/04/2015,-8.13,-2,0.12,0.12,Snow,,Calm,154.256066,
12/04/2015,-7.87,-7,1.4,1.4,Snow,,Calm,163.1164456,
13/04/2015,-8.62,-11,4.52,4.52,Snow,,Calm,168.6648786,
14/04/2015,-7.36,6,0,0,Cloudy,,Foggy,168.6648777,
15/04/2015,-6.1,-13,20.52,12.79,Snow,,Calm,184.6133734,
16/04/2015,-7.84,-10,4.79,4.79,Snow,,Calm,196.134581,
17/04/2015,-6.58,-8,3.46,3.46,Snow,,Calm,202.788542,
18/04/2015,-5.31,6,0,0,Sunny,,Calm,192.7885041,
19/04/2015,-6.05,-9,5.69,5.69,Sunny,,Calm,190.2195532,
20/04/2015,-4.79,-13,33.63,10.27,Snow,Blizzard,Stormy,187.8564992,
21/04/2015,-3.52,-10,21.46,5.47,Snow,Blizzard,Stormy,205.7106988,
22/04/2015,-3.25,-3,1.58,1.58,Sunny,,Calm,197.5530777,
23/04/2015,-2.99,0,0.59,0.59,Snow,,Calm,198.4936969,
24/04/2015,-4.72,-2,0.63,0.63,Snow,,Calm,206.4309022,
25/04/2015,-3.45,-7,8.86,4.14,Sunny,,Stormy,199.5448228,
26/04/2015,-2.18,-4,5.14,4.56,Snow,,Calm,222.0312038,
27/04/2015,-1.91,7,0,0,Sunny,,Calm,216.0309768,
28/04/2015,-0.64,0,1.91,1.91,Sunny,,Calm,206.8400008,
29/04/2015,-1.37,-4,7.31,4.57,Sunny,,Calm,201.1087166,
30/04/2015,0.9,-1,5.62,4.18,Sleet,,Calm,199.6468777,
01/05/2015,-3.83,1,0.15,0.15,Snow,,Calm,204.6321424,
02/05/2015,-0.56,-4,11.76,8.1,Snow,,Calm,205.4559411,
03/05/2015,-0.28,-2,5.38,5.38,Snow,,Calm,214.9179399,
04/05/2015,4.99,10,0.05,0.05,Rain,,Calm,204.9373004,
05/05/2015,-3.74,-3,1.73,1.73,Snow,,Calm,208.7643621,
06/05/2015,-1.47,-3,4.55,4.55,Snow,,Calm,211.3095259,
07/05/2015,5.81,3,12.84,8.26,Sunny,,Calm,206.025143,
08/05/2015,3.08,-1,20.39,7.22,Rain,,Stormy,200.9076236,
09/05/2015,2.35,-1,12.93,4.33,Sleet,,Stormy,197.2637282,
10/05/2015,5.62,8,0.7,0.7,Rain,,Calm,191.5706588,
11/05/2015,1.9,0,5.42,2.98,Sleet,,Calm,189.1326262,
12/05/2015,3.17,5,0.91,0.91,Rain,,Calm,185.8734657,
13/05/2015,1.44,0,4.64,2.89,Sunny,,Calm,177.4099056,
14/05/2015,4.71,4,5.52,3.32,Sunny,,Calm,166.8580728,
15/05/2015,4.98,9,0.18,0.18,Sunny,,Calm,160.8395831,
16/05/2015,10.25,10,4.15,3.44,Rain,,Calm,150.1712751,
17/05/2015,2.52,10,0.01,0.01,Sleet,,Calm,145.1220521,
18/05/2015,7.79,10,1.09,1.09,Rain,,Calm,137.2184264,
19/05/2015,3.06,2,4.64,3.1,Rain,,Calm,133.6908741,
20/05/2015,6.33,5,7.65,2.95,Rain,,Stormy,126.5935606,
21/05/2015,12.6,12,6.29,2.13,Sunny,,Stormy,122.9642323,94
22/05/2015,8.77,12,0.26,0.26,Sunny,,Calm,113.9382496,
23/05/2015,9.94,12,0.69,0.69,Rain,,Calm,93.99786088,
24/05/2015,8.1,11,0.3,0.3,Rain,,Calm,85.86574465,
25/05/2015,10.27,11,1.89,1.51,Rain,,Calm,75.40938116,
26/05/2015,5.43,5,3.53,1.25,Rain,,Stormy,69.62481191,
27/05/2015,8.59,10,1.93,0.85,Rain,,Stormy,52.2424318,
28/05/2015,11.76,14,0.67,0.67,Rain,,Calm,40.4183882,
29/05/2015,10.92,13,0.78,0.66,Rain,,Calm,18.50199509,
30/05/2015,11.08,13,1.46,0.55,Rain,,Stormy,7.276018667,
31/05/2015,11.24,14,0.33,0.33,Sunny,,Calm,4.242640211,40
01/06/2015,11.4,16,0.04,0.04,Rain,,Calm,0,
02/06/2015,12.5,15,0.73,0.46,Sunny,,Calm,0,40
03/06/2015,16.61,19,1.2,0.39,Rain,,Stormy,0,
04/06/2015,10.71,16,0.03,0.03,Sunny,,Calm,0,99
05/06/2015,13.82,18,0.07,0.07,Rain,,Calm,0,
06/06/2015,12.92,17,0.05,0.05,Rain,,Calm,0,
07/06/2015,12.02,15,0.51,0.28,Rain,,Calm,0,
08/06/2015,12.12,15,0.64,0.2,Sunny,,Stormy,0,7
09/06/2015,14.22,17,0.24,0.11,Sunny,,Stormy,0,74
10/06/2015,12.31,16,0.1,0.08,Sunny,,Calm,0,58
11/06/2015,14.41,18,0.1,0.07,Rain,,Calm,0,
12/06/2015,14.5,18,0.2,0.05,Rain,,Stormy,0,
13/06/2015,15.59,19,0.14,0.02,Rain,,Stormy,0,
14/06/2015,14.68,20,0,0,Sunny,,Calm,0,61
15/06/2015,15.77,21,0,0,Sunny,,Calm,0,23
16/06/2015,16.86,21,0.01,0.01,Sunny,,Stormy,0,94
17/06/2015,14.94,21,0,0,Rain,,Calm,0,
18/06/2015,14.02,20,0,0,Sunny,,Calm,0,92
19/06/2015,15.1,21,0,0,Sunny,,Calm,0,26
20/06/2015,17.18,22,0,0,Rain,,Calm,0,
21/06/2015,11.26,17,0.02,0.02,Rain,,Calm,0,
22/06/2015,17.33,22,0,0,Rain,,Calm,0,
23/06/2015,16.41,20,0.04,0.04,Sunny,,Calm,0,18
24/06/2015,15.48,19,0.07,0.07,Rain,,Calm,0,
25/06/2015,15.55,20,0.05,0.05,Sunny,,Calm,0,5
26/06/2015,17.61,22,0,0,Sunny,,Calm,0,52
27/06/2015,18.68,22,0.1,0.1,Rain,,Calm,0,
28/06/2015,16.74,21,0.01,0.01,Sunny,,Calm,0,49
29/06/2015,17.8,20,0.55,0.28,Rain,,Calm,0,
30/06/2015,15.86,21,0,0,Rain,,Calm,0,
01/07/2015,22.29,25,0.16,0.16,Sunny,,Calm,0,8
02/07/2015,20.32,24,0.03,0.03,Rain,,Calm,0,
03/07/2015,19.35,22,0.5,0.41,Rain,,Calm,0,
04/07/2015,15.38,19,0.04,0.04,Sunny,,Calm,0,27
05/07/2015,25.41,28,0.03,0.03,Sunny,,Calm,0,66
06/07/2015,17.43,21,0.03,0.03,Rain,,Calm,0,
07/07/2015,18.46,21,0.84,0.82,Sunny,,Calm,0,66
08/07/2015,22.47,25,0.74,0.7,Sunny,,Calm,0,31
09/07/2015,21.49,24,0.69,0.69,Sunny,,Calm,0,5
10/07/2015,17.5,21,0.06,0.06,Rain,,Calm,0,
11/07/2015,17.52,20,0.57,0.57,Rain,,Calm,0,
12/07/2015,25.52,28,0.94,0.94,Rain,,Calm,0,
